document_number,type,date,prefix,seq,issued_at,source
26-27/VASL/U/035,Sales,2026-04-01,26-27/VASL/U/,35,2026-09-01 19:01:57,opening position - last Sales invoice actually issued was 035
26-27/LLP/Aug/063,JE,2026-04-01,26-27/LLP/Aug/,63,2026-09-01 19:01:57,opening position - last August JE actually issued was 063
